Geneid,C1_1,C1_2,C1_3,C2_1,C2_2,C2_3,T1_1,T1_2,T1_3,T2_1,T2_2,T2_3
MYCTH_2299605,1.78,1.48,2.35,2.63,1.62,1.64,3.45,3.89,3.65,1.46,2.32,2.37
MYCTH_2299606,1.15,0.74,0.68,3.47,2.83,2.97,0.59,0.29,1.04,2.02,3.04,2.66
MYCTH_2299608,1.17,1.06,0.88,2.08,2.53,2.66,0.84,0.82,0.29,1.97,2.04,1.33
MYCTH_2299610,0.6,0.38,0.34,2.83,2.85,2.35,0.52,0.17,0.25,1,0.87,0.88
MYCTH_2299613,5.75,5.91,5.87,4.67,4.83,5.59,3.26,3.08,4.69,3.17,2.8,3.26
MYCTH_2054500,7.85,8.8,6.96,10.34,9.92,10.18,8.31,7.21,8.32,7.43,7.63,8.27
MYCTH_59302,333.26,394.63,368.92,233.85,225.1,222.94,277.98,267.55,260.9,219.32,211.15,237.79
MYCTH_2299619,22.66,21.02,21.7,24.49,22.29,23.03,23.86,27.14,30.45,17.57,20.59,16.95
MYCTH_2299621,87.92,90.83,89.08,56.33,56.74,58.15,73.6,72.31,71.62,48.27,48.23,55.3
MYCTH_2086957,37.67,36.47,41.68,65.32,61.67,60.12,29.32,28.68,38.56,39.28,37.08,34.08
MYCTH_97424,9.81,8.83,8.32,13.95,13.34,15.09,7.15,7.5,6.65,6.96,9.79,9.55
MYCTH_2299626,5.39,4.44,5.95,11.04,9.31,9,3.18,4.27,3.87,5.79,5.92,6.22
MYCTH_109542,1660.23,1679.17,1639.6,710.77,685.32,636.24,2481.53,3001.24,2634.15,902.37,875.12,891.76
MYCTH_59287,21.31,21.43,20.94,58.79,60.29,60.04,15.61,12.6,16.64,29.96,31.74,28.95
MYCTH_2299636,88.37,87.71,87.23,240.9,225.78,220.09,78.31,86.22,68.33,174.66,168.33,174.08
MYCTH_2137832,10.37,10.74,10.24,35.64,36.8,35.74,6.82,5.08,7.19,17.07,17.77,19.69
MYCTH_2299639,9.33,7.64,8.63,19.98,22.32,20.8,5.04,5.29,6.31,14.02,13.96,10.56
MYCTH_t20,7.22,2.55,6.68,16.8,17.03,19.75,2.97,1.08,8.99,3.09,5.37,4.99
MYCTH_2045737,4.87,3.85,5.05,7.81,9.36,11.28,2.93,1.3,3.17,3.5,4.31,2.95
MYCTH_2299642,19.62,21.88,19.27,27.62,25.51,28.57,16.11,14.03,16.02,18.2,18.16,19.8
